category,question,answer
Orders,How do I track my order?,"Once your order ships, you will receive a tracking link via email. You can also track your order in your account dashboard under 'Order History'."
Orders,Can I cancel my order?,"You can cancel your order within 1 hour of placing it from your account. After 1 hour, the order is processed and cannot be cancelled."
Orders,Do you ship internationally?,"Yes, we ship to over 50 countries. Shipping costs and delivery times are calculated at checkout based on your destination."
Orders,Where is my package?,"If your package is marked as delivered but you haven't received it, please wait 24 hours as carriers sometimes scan packages early. Contact us if it doesn't arrive."
Orders,How long does delivery take?,"Standard delivery takes 5-7 business days. Express delivery is 1-2 business days. International shipping takes 10-15 business days."
Orders,Can I change my shipping address?,"You can change your shipping address within 1 hour of placing the order by contacting our support team. After that, the order is locked for processing."
Orders,What shipping carriers do you use?,"We use FedEx, UPS, and DHL for domestic and international shipments. You'll receive the carrier and tracking number in your shipping confirmation email."
Billing,What payment methods do you accept?,"We accept Visa, Mastercard, American Express, PayPal, and Apple Pay. All transactions are secured with 256-bit SSL encryption."
Billing,When will I be charged for my subscription?,"You will be charged automatically on the same day each month corresponding to your initial signup date."
Billing,How do I update my billing information?,"Log in to your account, click on your profile, and navigate to the 'Billing' section to update your payment details securely."
Billing,Can I get a receipt for my purchase?,"Yes, a receipt is automatically emailed to you after every purchase. You can also download receipts from the 'Order History' section of your account."
Billing,Why was my payment declined?,"Payments can be declined due to incorrect card details, insufficient funds, or bank restrictions. Please verify your card details or try a different payment method."
Billing,Do you offer refunds?,"Yes, we offer full refunds for eligible returns within 30 days. Refunds are processed within 5-7 business days back to your original payment method."
Account,How do I reset my password?,"Click the 'Forgot Password' link on the login page and enter your registered email address to receive a password reset link."
Account,Can I delete my account?,"Yes, you can request account deletion from your account settings. Please note that this action is irreversible and erases all your data and order history."
Account,How do I change my email address?,"You can update your email address in the 'Profile' section of your account settings. A verification email will be sent to the new address."
Account,How do I update my profile information?,"Log into your account and click on your profile picture or name in the top right corner. You can update your name, phone number, and address from there."
Account,Can I have multiple accounts?,"Each email address can only be linked to one account. If you need to manage multiple businesses, please contact our support team."
Returns,What is your return policy?,"You can return unopened or unused items within 30 days of delivery for a full refund, minus any return shipping costs."
Returns,How do I start a return?,"Initiate a return by visiting our Returns Center online and entering your order number and email address to generate a prepaid shipping label."
Returns,Do you offer exchanges?,"Yes, we offer free exchanges for different sizes or colors of the same item within 30 days of the original purchase date."
Returns,How long does a refund take?,"Once we receive your return, refunds are processed within 3-5 business days. It may take an additional 5-7 days for the amount to reflect in your account."
Returns,Can I return a digital product?,"Digital products and downloadable content are non-refundable once accessed. Please contact support if you have an issue with a digital product."
Support,What are your customer support hours?,"Our support team is available Monday through Friday from 9 AM to 6 PM EST. For urgent issues, use the Live Chat feature on this page."
Support,Is there a phone number I can call?,"Currently, we provide fast email and live chat support. Phone support is available for Enterprise customers only."
Support,How long does it take to get a response?,"We strive to respond to all customer inquiries within 24 hours during regular business days. Urgent tickets are prioritized."
Support,How do I connect to a human agent?,"You can request a human agent at any time in this chat, and I will immediately escalate your query to the next available representative."
Support,Can I schedule a call with a manager?,"For complex issues, you can request a callback through the Tickets section. Our team will reach out within 1 business day."
Support,What is your Service Level Agreement (SLA)?,"Our standard SLA guarantees an initial response within 24 hours and full resolution within 3 business days for standard tickets."
Support,Do you offer premium support?,"Yes, our Enterprise tier includes 24/7 priority support with a 1-hour response SLA and a dedicated account manager."
Support,How can I submit a formal complaint?,"You can submit a formal complaint through the escalation system in this chat. Our management team reviews all formal complaints within 48 hours."
Support,I haven't received a reply to my email?,"Please check your spam/junk folder first. If it's been more than 24 hours, you can use this chat to check your ticket status."
Product,What products do you offer?,"Zed offers a range of digital and physical products including software subscriptions, accessories, and business tools. Visit our products page for the full catalog."
Product,How do I upgrade my subscription plan?,"Log into your account, go to 'Subscription', and click 'Upgrade Plan'. Changes take effect immediately and you'll be charged a prorated amount."
Product,Can I try the product before buying?,"Yes, we offer a 14-day free trial for all subscription plans. No credit card required for the trial period."
Product,How do I cancel my subscription?,"You can cancel your subscription anytime from 'Account Settings → Subscription'. Your access continues until the end of the current billing period."
